Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Johnnie Morant-2003,46,799,5,0.247311828,0.36922366,0.5,8.47,76,229,4.54,1.6,41,130,4.22,5,134,3,0,0,15,2,8,90,0,2.666666667,30,0
Ryne Robinson-2006,91,1178,8,0.377593361,0.423893487,0.533333333,5.26,69.125,179,4.54,1.61,35,123,4.21,4,118,1,0,0,16,0,4,35,0,4,35,0
Ryne Robinson-2005,75,1119,8,0.295275591,0.348815461,0.296296296,5.26,69.125,179,4.54,1.61,35,123,4.21,4,118,1,0,0,16,0,4,35,0,4,35,0
Ryne Robinson-2004,64,932,4,0.231046931,0.256396149,0.166666667,5.26,69.125,179,4.54,1.61,35,123,4.21,4,118,1,0,0,16,0,4,35,0,4,35,0
Ed Hinkel-2005,40,518,7,0.163265306,0.167474943,0.304347826,5.48,72.25,190,4.54,1.59,34,116,4.1,8,500,0,0,0,0,0,0,0,0,0,0,0
Ed Hinkel-2004,63,744,7,0.263598326,0.258243665,0.35,5.48,72.25,190,4.54,1.59,34,116,4.1,8,500,0,0,0,0,0,0,0,0,0,0,0
Maurice Brown-2002,48,966,11,0.263736264,0.353328456,0.407407407,4.37,72.25,219,4.54,1.6,33,117,4.25,8,500,0,0,0,0,0,0,0,0,0,0,0
Doug Gabriel-2002,75,1237,11,0.277777778,0.322387282,0.35483871,6.11,74.25,213,4.54,1.62,35.5,116,4.16,5,167,4,0,14,57,12,101,1550,8,25.25,387.5,2
Latarence Dunbar-2001,41,529,3,0.222826087,0.223300971,0.1875,2.49,70.75,196,4.54,1.64,34,122,4.35,6,196,1,0,0,5,0,0,0,0,0,0,0
Juaquin Iglesias-2008,74,1150,10,0.211428571,0.235125741,0.196078431,3.6,72.875,210,4.54,1.64,34.5,116,4.4,3,99,1,0,0,1,0,0,0,0,0,0,0
